number_features,number_deficient_repair_samples_per_feature,total_number_wildtype_samples,mutrate_fully_unrepaired_bins,mutrate_fully_repaired_bins
8,10,25,0.0001000,0.0000000001
8,10,25,0.0001000,0.0000000010
8,10,25,0.0001000,0.0000000100
8,10,25,0.0001000,0.0000001000
8,10,50,0.0000001,0.0000000001
8,10,50,0.0000001,0.0000000010
8,10,50,0.0000001,0.0000000100
8,10,50,0.0000001,0.0000001000
8,10,50,0.0000010,0.0000000001
8,10,50,0.0000010,0.0000000010
8,10,50,0.0000010,0.0000000100
8,10,50,0.0000010,0.0000001000
8,10,50,0.0000100,0.0000000001
8,10,50,0.0000100,0.0000000010
8,10,50,0.0000100,0.0000000100
8,10,50,0.0000100,0.0000001000
8,10,50,0.0001000,0.0000000001
8,10,50,0.0001000,0.0000000010
8,10,50,0.0001000,0.0000000100
8,10,50,0.0001000,0.0000001000
8,10,100,0.0000001,0.0000000001
8,10,100,0.0000001,0.0000000010
8,10,100,0.0000001,0.0000000100
8,10,100,0.0000001,0.0000001000
8,10,100,0.0000010,0.0000000001
8,10,100,0.0000010,0.0000000010
8,10,100,0.0000010,0.0000000100
8,10,100,0.0000010,0.0000001000
8,10,100,0.0000100,0.0000000001
8,10,100,0.0000100,0.0000000010
8,10,100,0.0000100,0.0000000100
8,10,100,0.0000100,0.0000001000
8,10,100,0.0001000,0.0000000001
8,10,100,0.0001000,0.0000000010
8,10,100,0.0001000,0.0000000100
8,10,100,0.0001000,0.0000001000
8,10,200,0.0000001,0.0000000001
8,10,200,0.0000001,0.0000000010
8,10,200,0.0000001,0.0000000100
8,10,200,0.0000001,0.0000001000
8,10,200,0.0000010,0.0000000001
8,10,200,0.0000010,0.0000000010
8,10,200,0.0000010,0.0000000100
8,10,200,0.0000010,0.0000001000
8,10,200,0.0000100,0.0000000001
8,10,200,0.0000100,0.0000000010
8,10,200,0.0000100,0.0000000100
8,10,200,0.0000100,0.0000001000
8,10,200,0.0001000,0.0000000001
8,10,200,0.0001000,0.0000000010
8,10,200,0.0001000,0.0000000100
8,10,200,0.0001000,0.0000001000
8,20,25,0.0000001,0.0000000001
8,20,25,0.0000001,0.0000000010
8,20,25,0.0000001,0.0000000100
8,20,25,0.0000001,0.0000001000
8,20,25,0.0000010,0.0000000001
8,20,25,0.0000010,0.0000000010
8,20,25,0.0000010,0.0000000100
8,20,25,0.0000010,0.0000001000
8,20,25,0.0000100,0.0000000001
8,20,25,0.0000100,0.0000000010
8,20,25,0.0000100,0.0000000100
8,20,25,0.0000100,0.0000001000
8,20,25,0.0001000,0.0000000001
8,20,25,0.0001000,0.0000000010
8,20,25,0.0001000,0.0000000100
